line,name,Latitude,Longitude,sort_order 
8,복정,37.471056,127.1267712,268
8,남위례,37.46304045,127.139246,269
8,산성,37.45652458,127.1499435,270
8,남한산성입구,37.45156834,127.1598025,271
8,단대오거리,37.44514315,127.1566879,272
8,신흥,37.44118408,127.1481076,273
8,수진,37.43745947,127.1403519,274
8,모란,37.43385017,127.1295512,275
9,신논현역,37.50483,127.0254807,276
9,언주,37.5074455,127.0342847,277
9,선정릉,37.51085389,127.043641,278
9,삼성중앙,37.51288303,127.0527057,279
9,봉은사,37.51436062,127.0608919,280
9,종합운동장,37.51148063,127.0760081,281
9,삼전,37.50450191,127.0874456,282
9,석촌고분,37.50247032,127.0967037,283
9,석촌,37.50594964,127.1063453,284
9,송파나루,37.5106317,127.1123939,285
9,한성백제,37.5164648,127.1163033,286
9,올림픽공원,37.51608765,127.1306001,287
9,둔촌오륜,37.51942425,127.1384273,288
9,중앙보훈병원,37.52889572,127.148542,289
Sinbundang,신사,37.51582791,127.0196026,290
Sinbundang,논현,37.51043955,127.0216597,291
Sinbundang,신논현,37.50350566,127.0249544,292
Sinbundang,강남,37.49670234,127.0281977,293
Sinbundang,양재,37.48349622,127.0350953,294
